epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,0.5406,0.8286,0.3937,0.5338,0.00300,135.3
1,HAT,0.4741,0.8440,0.3846,0.5284,0.00300,131.3
2,HAT,0.4613,0.8005,0.4039,0.5369,0.00299,126.8
3,HAT,0.4629,0.8440,0.3938,0.5370,0.00299,120.5
4,HAT,0.4550,0.8312,0.4007,0.5408,0.00298,131.8
5,HAT,0.4289,0.8491,0.3777,0.5228,0.00297,127.8
6,HAT,0.4270,0.8261,0.4043,0.5429,0.00296,120.2
7,HAT,0.4225,0.8286,0.4101,0.5487,0.00295,105.4
8,HAT,0.4144,0.8031,0.4176,0.5494,0.00294,115.7
9,HAT,0.4110,0.8338,0.4020,0.5424,0.00293,110.6
10,HAT,0.3952,0.8593,0.3844,0.5312,0.00291,112.5
11,HAT,0.3946,0.8286,0.4101,0.5487,0.00289,115.8
12,HAT,0.4050,0.7954,0.4237,0.5529,0.00288,117.2
13,HAT,0.4129,0.8005,0.4396,0.5675,0.00286,128.3
14,HAT,0.4073,0.7724,0.4501,0.5687,0.00284,107.8
15,HAT,0.4107,0.7647,0.4417,0.5599,0.00281,112.1
16,HAT,0.4089,0.8491,0.4034,0.5470,0.00279,104.7
17,HAT,0.3991,0.7903,0.4082,0.5383,0.00277,106.9
18,HAT,0.4006,0.7673,0.4121,0.5362,0.00274,100.3
19,HAT,0.3969,0.8159,0.3811,0.5195,0.00271,110.2
20,HAT,0.4006,0.7877,0.4196,0.5476,0.00269,86.7
21,HAT,0.3928,0.8031,0.4020,0.5358,0.00266,96.8
22,HAT,0.3908,0.8593,0.3948,0.5411,0.00263,85.0
23,HAT,0.3963,0.8465,0.3913,0.5352,0.00259,71.6
24,HAT,0.3947,0.8645,0.3806,0.5285,0.00256,70.6
25,HAT,0.3994,0.8210,0.3988,0.5368,0.00253,73.9
26,HAT,0.3900,0.8082,0.3740,0.5113,0.00249,74.3
27,HAT,0.3954,0.8363,0.3897,0.5317,0.00246,74.2
28,HAT,0.4035,0.7852,0.4160,0.5438,0.00242,73.8
29,HAT,0.3865,0.8517,0.3793,0.5248,0.00238,75.2
30,QAT,0.4013,0.8210,0.4137,0.5501,0.00234,73.5
31,QAT,0.4147,0.8721,0.3827,0.5320,0.00230,75.4
32,QAT,0.3857,0.9079,0.3491,0.5043,0.00226,74.5
33,QAT,0.3887,0.8645,0.3981,0.5452,0.00222,72.2
34,QAT,0.3846,0.8977,0.3438,0.4972,0.00218,87.0
35,QAT,0.3792,0.8721,0.4040,0.5522,0.00214,71.6
36,QAT,0.3928,0.8977,0.3340,0.4868,0.00210,73.7
37,QAT,0.3950,0.8107,0.3875,0.5244,0.00205,70.7
38,QAT,0.4032,0.7749,0.4214,0.5459,0.00201,74.1
39,QAT,0.4070,0.7903,0.4210,0.5493,0.00196,75.5
40,QAT,0.4073,0.7954,0.4249,0.5539,0.00192,74.8
41,QAT,0.4025,0.8005,0.4630,0.5867,0.00187,76.0
42,QAT,0.4073,0.7801,0.4736,0.5894,0.00183,76.2
43,QAT,0.3956,0.8031,0.4367,0.5658,0.00178,83.3
44,QAT,0.3987,0.8798,0.3918,0.5422,0.00173,88.3
45,QAT,0.3883,0.8824,0.3907,0.5416,0.00169,72.4
46,QAT,0.3916,0.8977,0.3896,0.5433,0.00164,75.0
47,QAT,0.3882,0.8721,0.4016,0.5500,0.00159,72.3
48,QAT,0.3935,0.8798,0.3972,0.5473,0.00155,73.2
49,QAT,0.3873,0.8645,0.4014,0.5483,0.00150,61.3
50,QAT,0.3748,0.9028,0.3971,0.5516,0.00145,58.2
51,QAT,0.3762,0.9028,0.3689,0.5237,0.00141,90.8
52,QAT,0.3909,0.8465,0.4164,0.5582,0.00136,103.4
53,QAT,0.3780,0.8619,0.4041,0.5502,0.00131,78.2
54,QAT,0.3900,0.8977,0.3695,0.5235,0.00127,77.9
55,QAT,0.3902,0.9028,0.3388,0.4927,0.00122,80.3
56,QAT,0.3832,0.8593,0.4179,0.5623,0.00117,78.0
57,QAT,0.3910,0.8849,0.3977,0.5488,0.00113,75.0
