epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,2.9254,0.0000,0.0000,0.0000,0.00300,97.6
1,HAT,1.1361,0.9335,0.1744,0.2939,0.00300,92.5
2,HAT,0.9530,0.9361,0.1703,0.2882,0.00299,86.6
3,HAT,0.9296,0.9079,0.1839,0.3059,0.00299,88.3
4,HAT,0.8907,0.9079,0.1808,0.3015,0.00298,88.9
5,HAT,0.8806,0.8645,0.2094,0.3372,0.00297,92.4
6,HAT,0.8409,0.8926,0.1799,0.2994,0.00296,88.9
7,HAT,0.8325,0.8414,0.1765,0.2918,0.00295,90.6
8,HAT,0.8268,0.9079,0.1895,0.3136,0.00294,90.5
9,HAT,0.8385,0.8824,0.2092,0.3382,0.00293,87.5
10,HAT,0.8052,0.8542,0.2350,0.3687,0.00291,90.5
11,HAT,0.8117,0.8875,0.2107,0.3405,0.00289,88.5
12,HAT,0.8046,0.8721,0.2545,0.3940,0.00288,88.5
13,HAT,0.7993,0.8772,0.2436,0.3813,0.00286,91.3
14,HAT,0.8147,0.8619,0.2244,0.3560,0.00284,90.5
15,HAT,0.7900,0.8645,0.2352,0.3698,0.00281,92.8
16,HAT,0.7678,0.8465,0.2523,0.3887,0.00279,90.1
17,HAT,0.7724,0.8517,0.2362,0.3698,0.00277,91.4
18,HAT,0.7561,0.8517,0.2449,0.3804,0.00274,90.8
19,HAT,0.7847,0.8286,0.2658,0.4025,0.00271,92.1
20,HAT,0.7515,0.8338,0.2596,0.3959,0.00269,91.4
21,HAT,0.7473,0.8210,0.2772,0.4145,0.00266,92.2
22,HAT,0.7327,0.8542,0.2370,0.3711,0.00263,87.4
23,HAT,0.7447,0.8312,0.2632,0.3998,0.00259,86.8
24,HAT,0.7328,0.8235,0.2659,0.4020,0.00256,97.3
25,HAT,0.7420,0.8414,0.2533,0.3893,0.00253,89.0
26,HAT,0.7274,0.8286,0.2669,0.4037,0.00249,91.4
27,HAT,0.7205,0.8312,0.2629,0.3995,0.00246,90.1
28,HAT,0.7271,0.8491,0.2697,0.4094,0.00242,90.6
29,HAT,0.7255,0.8286,0.2705,0.4078,0.00238,91.2
30,HAT,0.7288,0.8312,0.2662,0.4032,0.00234,88.9
31,HAT,0.7167,0.8261,0.2728,0.4102,0.00230,89.4
32,HAT,0.7200,0.8312,0.2682,0.4055,0.00226,90.6
33,HAT,0.7131,0.8338,0.2692,0.4070,0.00222,86.5
34,HAT,0.7264,0.8286,0.2725,0.4101,0.00218,86.1
35,HAT,0.7340,0.8619,0.2709,0.4122,0.00214,91.5
36,HAT,0.7251,0.8312,0.2713,0.4091,0.00210,88.4
37,QAT,0.7103,0.8312,0.2679,0.4052,0.00205,89.0
38,QAT,0.7135,0.8670,0.2716,0.4137,0.00201,89.3
39,QAT,0.7142,0.8645,0.2805,0.4236,0.00196,92.2
40,QAT,0.7266,0.8389,0.2581,0.3947,0.00192,89.6
41,QAT,0.7119,0.8414,0.2940,0.4358,0.00187,90.4
42,QAT,0.7114,0.8517,0.2696,0.4096,0.00183,91.0
43,QAT,0.7181,0.8210,0.2762,0.4134,0.00178,88.1
44,QAT,0.7097,0.8465,0.2661,0.4049,0.00173,91.1
45,QAT,0.7248,0.8542,0.2707,0.4111,0.00169,88.9
46,QAT,0.7126,0.8465,0.2756,0.4158,0.00164,91.0
47,QAT,0.7009,0.8517,0.2734,0.4139,0.00159,90.8
48,QAT,0.7073,0.8542,0.2698,0.4101,0.00155,89.8
49,QAT,0.7198,0.8517,0.2593,0.3976,0.00150,89.5
50,QAT,0.7039,0.8363,0.2727,0.4113,0.00145,89.7
51,QAT,0.7032,0.8363,0.2781,0.4174,0.00141,88.0
52,QAT,0.7065,0.8593,0.2619,0.4014,0.00136,89.0
53,QAT,0.6955,0.8619,0.2530,0.3912,0.00131,92.4
54,QAT,0.7086,0.8363,0.2669,0.4047,0.00127,85.8
55,QAT,0.6983,0.8645,0.2590,0.3986,0.00122,87.4
56,QAT,0.7022,0.8210,0.2975,0.4367,0.00117,87.9
57,QAT,0.7037,0.8440,0.2696,0.4087,0.00113,87.4
58,QAT,0.7083,0.8235,0.2830,0.4212,0.00108,93.7
59,QAT,0.6948,0.8414,0.2781,0.4180,0.00104,89.3
60,QAT,0.7012,0.8670,0.2566,0.3960,0.00099,89.2
61,QAT,0.7149,0.8593,0.2639,0.4038,0.00095,90.6
62,QAT,0.6927,0.8491,0.2804,0.4216,0.00090,65.9
63,QAT,0.6952,0.8619,0.2616,0.4014,0.00086,57.2
64,QAT,0.7027,0.8670,0.2574,0.3970,0.00082,63.1
65,QAT,0.7023,0.8491,0.2724,0.4124,0.00078,64.1
66,QAT,0.7037,0.8568,0.2573,0.3957,0.00074,67.4
67,QAT,0.6951,0.8465,0.2722,0.4119,0.00070,67.8
68,QAT,0.7054,0.8491,0.2771,0.4179,0.00066,68.6
69,QAT,0.7178,0.8542,0.2666,0.4063,0.00062,68.7
70,QAT,0.7035,0.8414,0.2647,0.4027,0.00058,71.2
71,QAT,0.7049,0.8465,0.2751,0.4153,0.00054,71.2
