epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,2.7857,0.0000,0.0000,0.0000,0.00300,119.0
1,HAT,2.0020,0.5013,0.2891,0.3667,0.00300,90.6
2,HAT,1.8553,0.6547,0.2966,0.4083,0.00299,88.3
3,HAT,1.8727,0.6292,0.2824,0.3899,0.00299,94.8
4,HAT,1.8047,0.5448,0.2806,0.3704,0.00298,86.1
5,HAT,1.7692,0.6164,0.2932,0.3974,0.00297,79.8
6,HAT,1.6347,0.6726,0.3116,0.4259,0.00296,76.3
7,HAT,1.6012,0.7519,0.2779,0.4058,0.00295,78.1
8,HAT,1.5761,0.6854,0.3202,0.4365,0.00294,77.3
9,HAT,1.5688,0.7212,0.2767,0.4000,0.00293,77.8
10,HAT,1.4896,0.7366,0.2717,0.3970,0.00291,77.9
11,HAT,1.4244,0.7468,0.2591,0.3847,0.00289,76.5
12,HAT,1.4204,0.7340,0.2631,0.3873,0.00288,81.4
13,HAT,1.4443,0.7084,0.2577,0.3779,0.00286,77.9
14,HAT,1.4511,0.7980,0.2296,0.3566,0.00284,76.6
15,HAT,1.4081,0.7340,0.2643,0.3886,0.00281,79.7
16,HAT,1.3871,0.7494,0.2630,0.3894,0.00279,78.6
17,HAT,1.3466,0.7621,0.2596,0.3873,0.00277,80.9
18,HAT,1.3324,0.7315,0.2653,0.3894,0.00274,78.0
19,HAT,1.3504,0.7340,0.2697,0.3945,0.00271,79.0
20,HAT,1.3707,0.7263,0.2682,0.3917,0.00269,79.8
21,HAT,1.3915,0.7161,0.2602,0.3817,0.00266,79.2
22,HAT,1.4114,0.7647,0.2545,0.3819,0.00263,82.5
23,HAT,1.4045,0.7877,0.2293,0.3552,0.00259,79.3
24,QAT,1.4593,0.7980,0.1834,0.2983,0.00256,76.8
25,QAT,1.4566,0.5831,0.2078,0.3065,0.00253,80.6
26,QAT,1.4444,0.5192,0.2473,0.3350,0.00249,78.8
27,QAT,1.4297,0.8235,0.2026,0.3253,0.00246,79.0
28,QAT,1.4249,0.6113,0.2134,0.3163,0.00242,80.3
29,QAT,1.4399,0.7315,0.1905,0.3023,0.00238,78.2
30,QAT,1.4317,0.5857,0.1951,0.2927,0.00234,80.0
31,QAT,1.4506,0.6292,0.2438,0.3514,0.00230,83.7
32,QAT,1.4669,0.6189,0.2580,0.3642,0.00226,78.1
33,QAT,1.4674,0.6547,0.2631,0.3754,0.00222,86.5
34,QAT,1.4452,0.6496,0.2785,0.3899,0.00218,80.2
35,QAT,1.4253,0.5524,0.2915,0.3816,0.00214,79.8
36,QAT,1.4716,0.7008,0.2354,0.3524,0.00210,79.8
37,QAT,1.4529,0.5550,0.2483,0.3431,0.00205,77.9
38,QAT,1.4511,0.3990,0.3047,0.3455,0.00201,80.8
39,QAT,1.4303,0.5345,0.3042,0.3878,0.00196,81.0
40,QAT,1.4877,0.5831,0.2886,0.3861,0.00192,78.5
41,QAT,1.4241,0.5729,0.2913,0.3862,0.00187,82.5
42,QAT,1.4686,0.8363,0.1994,0.3220,0.00183,86.5
43,QAT,1.4432,0.6164,0.2729,0.3783,0.00178,70.1
44,QAT,1.4366,0.5192,0.2942,0.3756,0.00173,72.5
45,QAT,1.4350,0.5115,0.3185,0.3925,0.00169,70.2
46,QAT,1.3928,0.8107,0.2064,0.3290,0.00164,70.5
47,QAT,1.4832,0.5882,0.2882,0.3869,0.00159,70.7
48,QAT,1.4744,0.6471,0.2498,0.3604,0.00155,68.9
49,QAT,1.4649,0.5806,0.2899,0.3867,0.00150,70.7
50,QAT,1.4318,0.5703,0.3059,0.3982,0.00145,68.1
51,QAT,1.3688,0.8414,0.1987,0.3214,0.00141,69.4
52,QAT,1.3952,0.6368,0.2624,0.3716,0.00136,70.2
53,QAT,1.4632,0.6087,0.2774,0.3811,0.00131,69.3
54,QAT,1.4539,0.6266,0.2747,0.3819,0.00127,71.4
55,QAT,1.4266,0.6087,0.2751,0.3790,0.00122,71.3
56,QAT,1.4462,0.5882,0.2919,0.3902,0.00117,71.4
57,QAT,1.4608,0.6266,0.2587,0.3662,0.00113,70.0
58,QAT,1.4459,0.5806,0.3027,0.3979,0.00108,69.0
59,QAT,1.4294,0.6547,0.2517,0.3636,0.00104,66.2
60,QAT,1.4408,0.6215,0.2563,0.3630,0.00099,81.2
61,QAT,1.4102,0.6394,0.2688,0.3785,0.00095,78.3
62,QAT,1.4434,0.6624,0.2392,0.3514,0.00090,87.9
63,QAT,1.4259,0.6010,0.2869,0.3884,0.00086,57.9
64,QAT,1.4353,0.6522,0.2512,0.3627,0.00082,77.4
65,QAT,1.4275,0.5882,0.2774,0.3770,0.00078,69.2
