epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.8557,1.0000,0.0991,0.1804,0.00300,60.7
1,HAT,1.2475,0.9668,0.1083,0.1948,0.00300,61.7
2,HAT,1.2234,0.8696,0.1462,0.2504,0.00300,74.7
3,HAT,1.1668,0.9463,0.1084,0.1945,0.00299,72.1
4,HAT,1.1379,0.8414,0.1864,0.3052,0.00299,61.4
5,HAT,1.1537,0.8159,0.1937,0.3131,0.00298,70.5
6,HAT,1.0978,0.9668,0.1113,0.1997,0.00297,66.4
7,HAT,1.1067,0.9668,0.1107,0.1986,0.00297,75.8
8,HAT,1.0929,0.9668,0.1117,0.2003,0.00296,59.2
9,HAT,1.0811,0.7852,0.2284,0.3539,0.00295,60.3
10,HAT,1.0854,0.9795,0.1135,0.2035,0.00294,60.5
11,HAT,1.0765,0.9821,0.1174,0.2098,0.00293,82.4
12,HAT,1.0714,0.9821,0.1160,0.2076,0.00291,63.0
13,HAT,1.0692,0.9591,0.1174,0.2092,0.00290,54.7
14,HAT,1.0563,0.9770,0.1190,0.2122,0.00289,60.4
15,HAT,1.0660,0.9565,0.1229,0.2178,0.00287,67.1
16,HAT,1.0596,0.9463,0.1241,0.2195,0.00285,65.1
17,HAT,1.0555,0.9514,0.1199,0.2129,0.00284,71.7
18,HAT,1.0513,0.9565,0.1208,0.2146,0.00282,62.1
19,HAT,1.0451,0.8645,0.2058,0.3325,0.00280,72.0
20,HAT,1.0296,0.8849,0.1918,0.3153,0.00278,61.8
21,HAT,0.9988,0.8286,0.2479,0.3816,0.00276,68.9
22,HAT,0.9978,0.8389,0.2560,0.3923,0.00274,58.5
23,HAT,0.9798,0.8107,0.2345,0.3637,0.00271,62.9
24,HAT,1.0116,0.9514,0.1319,0.2317,0.00269,60.7
25,HAT,0.9790,0.8312,0.2449,0.3783,0.00267,58.0
26,HAT,0.9716,0.8593,0.2325,0.3660,0.00264,60.2
27,HAT,0.9557,0.8414,0.2525,0.3884,0.00261,58.2
28,HAT,0.9390,0.8491,0.2348,0.3679,0.00259,58.6
29,HAT,0.9467,0.8414,0.2584,0.3954,0.00256,59.3
30,HAT,0.9170,0.8542,0.2233,0.3540,0.00253,61.2
31,HAT,0.9522,0.8491,0.2388,0.3728,0.00250,61.0
32,HAT,0.9249,0.8645,0.2320,0.3658,0.00247,60.7
33,HAT,0.9309,0.8542,0.2376,0.3717,0.00244,58.8
34,HAT,0.9429,0.8568,0.2384,0.3731,0.00241,68.3
35,HAT,0.9142,0.8696,0.2276,0.3607,0.00238,84.2
36,HAT,0.9173,0.8491,0.2629,0.4015,0.00235,58.8
37,HAT,0.9116,0.8721,0.2380,0.3739,0.00232,62.0
38,HAT,0.9055,0.8593,0.2609,0.4002,0.00228,69.7
39,HAT,0.9016,0.8619,0.2515,0.3894,0.00225,86.5
40,HAT,0.8980,0.8593,0.2395,0.3746,0.00222,81.4
41,HAT,0.9109,0.8696,0.2256,0.3583,0.00218,68.6
42,HAT,0.9169,0.8491,0.2506,0.3869,0.00215,60.1
43,HAT,0.9014,0.8619,0.2538,0.3921,0.00211,74.2
44,HAT,0.9041,0.8568,0.2433,0.3790,0.00207,69.7
45,HAT,0.8810,0.8465,0.2498,0.3858,0.00204,79.9
46,HAT,0.9128,0.8645,0.2467,0.3839,0.00200,65.8
47,HAT,0.9130,0.8389,0.2459,0.3803,0.00196,71.2
48,QAT,0.9331,0.8286,0.2893,0.4289,0.00193,78.4
49,QAT,0.9328,0.8261,0.2512,0.3852,0.00189,16813.0
50,QAT,0.9297,0.8031,0.3084,0.4457,0.00185,76.0
51,QAT,0.9329,0.8184,0.3077,0.4472,0.00181,64.4
52,QAT,0.9336,0.8619,0.2438,0.3801,0.00177,66.9
53,QAT,0.9510,0.8440,0.2730,0.4125,0.00173,58.5
54,QAT,0.9296,0.8747,0.2277,0.3613,0.00170,55.3
55,QAT,0.9483,0.8517,0.2431,0.3782,0.00166,55.3
56,QAT,0.9598,0.7110,0.2878,0.4097,0.00162,57.3
57,QAT,0.9672,0.7570,0.2795,0.4083,0.00158,60.2
58,QAT,0.9333,0.7826,0.2466,0.3750,0.00154,55.8
59,QAT,0.9416,0.7673,0.2441,0.3704,0.00150,60.7
60,QAT,0.9550,0.7852,0.2177,0.3409,0.00146,56.9
61,QAT,0.9395,0.7775,0.2156,0.3376,0.00142,54.6
62,QAT,0.9203,0.7749,0.2461,0.3736,0.00138,65.7
63,QAT,0.9127,0.8721,0.2339,0.3688,0.00134,57.6
64,QAT,0.9125,0.8619,0.2496,0.3871,0.00130,56.3
65,QAT,0.9339,0.8517,0.2417,0.3765,0.00127,54.8
66,QAT,0.9096,0.8721,0.2339,0.3688,0.00123,62.4
67,QAT,0.9267,0.8645,0.2282,0.3611,0.00119,67.6
68,QAT,0.9191,0.8517,0.2481,0.3843,0.00115,55.0
69,QAT,0.9167,0.8465,0.2556,0.3926,0.00111,56.5
70,QAT,0.9422,0.8747,0.2360,0.3717,0.00107,49.6
71,QAT,0.9106,0.8900,0.2176,0.3497,0.00104,34.8
