id,filepath,sha256,bytes,label,kind,source,subclass,group_id,split,duration_s,sample_rate,channels,subtype,license
dat_dd83576b5d00,dataset/datasec/PT_DATASET_250314/Bells/Bells-001.wav,81ef97be69b5471a378cf3e4fe2b7f1f8f83764a0dac8457695451ec5e57a564,2100800,negative,loud_event,datasec,Bells,datasec_Bells-001,train,23.8181,44100,1,PCM_16,CC BY 4.0
dat_220663e6e0ea,dataset/datasec/PT_DATASET_250314/Bells/Bells-002.wav,78eb086430eeb50096b4d87779b7734cdabd0bbe2ce4b9dbfd8e3c9074d8bb36,4433590,negative,loud_event,datasec,Bells,datasec_Bells-002,test,50.267,44100,1,PCM_16,CC BY 4.0
dat_b118ffd4c056,dataset/datasec/PT_DATASET_250314/Bells/Bells-003.wav,3b1a1c9628df735bf85efd8a4003c84bc6738dc99cb6611def7ff6789278d9c1,4626220,negative,loud_event,datasec,Bells,datasec_Bells-003,test,52.451,44100,1,PCM_16,CC BY 4.0
dat_5d95a5cf1ca2,dataset/datasec/PT_DATASET_250314/Bells/Bells-004.wav,da1a3e99ff8ea26251dc7b64e7891379495d46951534e9f15b49d169b41d2294,2230374,negative,loud_event,datasec,Bells,datasec_Bells-004,val,25.2872,44100,1,PCM_16,CC BY 4.0
dat_b63954f84c4f,dataset/datasec/PT_DATASET_250314/Bells/Bells-005.wav,84c0e36251b138ba7b5f767803f7a4d1a3725a947055e6dd00ff866324aab3a7,2728846,negative,loud_event,datasec,Bells,datasec_Bells-005,val,30.9388,44100,1,PCM_16,CC BY 4.0
dat_f97a869694f6,dataset/datasec/PT_DATASET_250314/Bells/Bells-006.wav,7a32091c965bd2376396daeed9b2098d3f25f76eb74ce565d386658485aa110a,2563912,negative,loud_event,datasec,Bells,datasec_Bells-006,val,29.0688,44100,1,PCM_16,CC BY 4.0
dat_726644b1305c,dataset/datasec/PT_DATASET_250314/Bells/Bells-007.wav,b66a60e8b7c3224422374dc6d88995639866738755b1038dd148018cd127531f,4685210,negative,loud_event,datasec,Bells,datasec_Bells-007,train,53.1198,44100,1,PCM_16,CC BY 4.0
dat_0881bcba0acf,dataset/datasec/PT_DATASET_250314/Bells/Bells-008.wav,383fe8a9eae1be3895a49899d2c569390e9b745a2772288583e4e29ce039a879,3783868,negative,loud_event,datasec,Bells,datasec_Bells-008,train,42.9005,44100,1,PCM_16,CC BY 4.0
dat_b500aa8356df,dataset/datasec/PT_DATASET_250314/Bells/Bells-009.wav,586895f77c68a30cac5d49793861dc1262287738b5676b9d9cd3397ce08a8baf,3480724,negative,loud_event,datasec,Bells,datasec_Bells-009,test,39.4635,44100,1,PCM_16,CC BY 4.0
dat_73be1943cf21,dataset/datasec/PT_DATASET_250314/Bells/Bells-010.wav,6217c82dbc10922e9b6aa4811f670f3faef4c1b5b1c79cf2b607c5366767ffa6,1388650,negative,loud_event,datasec,Bells,datasec_Bells-010,train,15.7438,44100,1,PCM_16,CC BY 4.0
dat_044ccff7da2c,dataset/datasec/PT_DATASET_250314/Bells/Bells-011.wav,8e38f09c7bbc24ac3fb64155639cf89f0d7d6b10364f91bee417ec3050f9c776,2850092,negative,loud_event,datasec,Bells,datasec_Bells-011,train,32.3135,44100,1,PCM_16,CC BY 4.0
dat_dc8afb67d28a,dataset/datasec/PT_DATASET_250314/Bells/Bells-012.wav,e08a5e3f391c0644d945212fb2b6da15d1d887c8cabd38075feaa97e3ecbbb04,4447256,negative,loud_event,datasec,Bells,datasec_Bells-012,train,50.4219,44100,1,PCM_16,CC BY 4.0
dat_21a45fb93ebd,dataset/datasec/PT_DATASET_250314/Bells/Bells-013.wav,d1d6da51ac4257d848c3c5cea8752ce7314024c2da6b20727d52c1cd25f41d75,4458948,negative,loud_event,datasec,Bells,datasec_Bells-013,val,50.5545,44100,1,PCM_16,CC BY 4.0
dat_dbdbf9d517e6,dataset/datasec/PT_DATASET_250314/Bells/Bells-014.wav,43a80b075650de09d94c9bff4be2b596b84948ece91dac4b760d464e4d5924fb,3333518,negative,loud_event,datasec,Bells,datasec_Bells-014,test,37.7945,44100,1,PCM_16,CC BY 4.0
dat_144bf73b040d,dataset/datasec/PT_DATASET_250314/Bells/Bells-015.wav,5eac8c70435f62296f79bd210e23bff7c207adc82b3d239dbbd133d97474f3af,3579418,negative,loud_event,datasec,Bells,datasec_Bells-015,train,40.5825,44100,1,PCM_16,CC BY 4.0
