=== FILE: Background.output000000001.wav.3dfetemi.ingestion-84f9b89597-pnvsl.wav ===
Timestamp_ms,Peak,Mean,CV
20.0,537.5469,509.2564,0.0205
40.0,533.0156,509.798,0.0161
60.0,526.8438,509.1352,0.0152
80.0,534.3125,509.2001,0.0207
100.0,529.1094,509.5937,0.0176
120.0,532.8125,509.7356,0.0181
140.0,530.0312,508.7107,0.018
160.0,544.2969,510.1466,0.02
180.0,541.4062,509.0574,0.0228
200.0,532.6875,509.6233,0.0172
220.0,536.9531,509.4412,0.0179
240.0,535.0156,509.3348,0.0184
260.0,530.8438,509.0933,0.0155
280.0,535.5938,510.0049,0.0206
300.0,532.1719,509.4884,0.0168
320.0,536.4688,509.0995,0.0191
340.0,541.9062,509.6376,0.0222
360.0,537.9688,509.6578,0.0208
380.0,539.6875,509.1894,0.0221
400.0,534.0312,509.5035,0.0185
420.0,532.1406,509.3118,0.0168
440.0,539.25,509.7104,0.0194
460.0,532.8906,509.2046,0.0192
480.0,534.0625,509.5538,0.0196
500.0,533.5156,509.987,0.0182
520.0,533.9375,508.9062,0.0176
540.0,534.6094,509.6824,0.0178
560.0,531.6094,509.3237,0.0176
580.0,540.1875,509.5517,0.0202
600.0,532.8438,509.3804,0.0196
620.0,536.4219,509.6644,0.0184
640.0,532.2031,509.4548,0.0185
660.0,532.3281,509.3156,0.0165
680.0,532.9844,509.6459,0.0153
700.0,541.4531,509.1226,0.0215
720.0,548.3281,509.4398,0.0182
740.0,538.4219,509.9652,0.0205
760.0,537.25,509.0786,0.0177
780.0,532.5312,509.5452,0.0176
800.0,533.3125,509.4382,0.0217
820.0,532.5781,509.8473,0.0175
840.0,537.8125,509.2498,0.0193
860.0,529.8438,509.1595,0.0185
880.0,536.8438,509.8298,0.021
900.0,532.8281,509.1581,0.0184
920.0,547.0938,509.5996,0.0195
940.0,535.125,509.1644,0.0185
960.0,532.6406,509.4912,0.0176
980.0,539.7344,509.66,0.0182
1000.0,530.0469,509.753,0.0187
1020.0,534.3125,509.3765,0.0187
1040.0,533.5312,509.4329,0.0173
1060.0,533.9219,509.6437,0.0179
1080.0,532.4375,509.2116,0.0205
1100.0,527.75,509.3762,0.0169
1120.0,536.6719,509.331,0.0175
1140.0,539.25,509.5037,0.0183
1160.0,533.875,509.5008,0.0179
1180.0,535.3594,509.3722,0.0192
1200.0,537.5156,509.1368,0.0189
1220.0,543.9375,509.7227,0.0173
1240.0,535.6094,509.5544,0.0171
1260.0,531.7656,509.6893,0.0171
1280.0,541.5625,509.223,0.0193
1300.0,535.5,508.9266,0.0185
1320.0,532.7812,509.9625,0.0191
1340.0,530.9062,509.2226,0.0177
1360.0,536.25,509.6464,0.0185
1380.0,540.9531,509.6288,0.0201
1400.0,532.4844,509.1817,0.0174
1420.0,529.5625,509.2095,0.0176
1440.0,532.8906,509.5778,0.0188
1460.0,534.5781,509.5496,0.0191
1480.0,526.5781,509.5482,0.0145
1500.0,530.1094,509.4851,0.0156
1520.0,532.2656,509.3494,0.0184
1540.0,532.25,509.0236,0.0178
1560.0,530.2812,509.815,0.015
1580.0,530.4219,509.472,0.0163
1600.0,536.6406,509.6213,0.0185
1620.0,535.5938,508.999,0.0165
1640.0,533.0,510.4004,0.0181
1660.0,533.2656,509.2928,0.0193
1680.0,534.125,509.2356,0.0181
1700.0,533.1562,509.5466,0.0185
1720.0,536.2656,509.3978,0.0194
1740.0,529.0469,509.7069,0.0151
1760.0,530.1406,509.234,0.0177
1780.0,528.4062,509.6954,0.017
1800.0,532.5,509.4675,0.0157
1820.0,533.1719,509.6438,0.0204
1840.0,538.9062,509.1988,0.021
1860.0,530.75,509.2738,0.0162
1880.0,540.6719,509.6698,0.0184
1900.0,531.3594,509.3004,0.0165
1920.0,541.375,509.3508,0.0186
1940.0,542.5312,509.92,0.0188
1960.0,531.9062,509.3658,0.0166
1980.0,534.1406,509.5144,0.0149
2000.0,543.6719,509.6861,0.021
2020.0,540.0312,508.9588,0.0201
2040.0,527.75,509.8203,0.0156
2060.0,530.625,509.3127,0.0179
2080.0,531.8438,509.3722,0.0167
2100.0,530.9688,509.4104,0.0168
2120.0,537.7969,509.8991,0.0194
2140.0,534.8906,509.3908,0.016
2160.0,545.8438,509.2462,0.0167
2180.0,536.2812,509.479,0.0188
2200.0,535.3906,509.6016,0.0198
2220.0,537.8125,509.2054,0.0171
2240.0,535.9219,509.4042,0.0193
2260.0,538.8906,509.4184,0.0164
2280.0,529.0469,510.0368,0.0179
2300.0,534.8281,509.3146,0.0209
2320.0,541.6562,509.0755,0.0179
2340.0,533.7969,509.6878,0.017
2360.0,544.3281,509.7838,0.0183
2380.0,544.0312,509.3969,0.0211
2400.0,537.7812,509.1051,0.0184
2420.0,532.1719,509.4788,0.0179
2440.0,545.0,509.425,0.0209
2460.0,536.0156,509.3714,0.0209
2480.0,535.2031,509.8752,0.0186
2500.0,535.8281,509.4455,0.0158
2520.0,546.7031,509.3552,0.0201
2540.0,537.5469,509.1916,0.0184
2560.0,535.4844,509.5921,0.0182
2580.0,534.0,510.0587,0.0195
2600.0,544.375,509.3717,0.0197
2620.0,545.5156,509.3722,0.0233
2640.0,550.1094,509.8874,0.0233
2660.0,534.2188,509.4164,0.0188
2680.0,543.4531,509.6188,0.0235
2700.0,549.7656,509.2748,0.024
2720.0,535.0938,509.9282,0.0204
2740.0,538.4531,509.3008,0.0186
2760.0,533.1562,509.4107,0.0202
2780.0,537.4688,509.3366,0.0224
2800.0,540.1562,509.8066,0.0199
2820.0,536.0938,509.555,0.0225
2840.0,541.4375,508.9848,0.0217
2860.0,537.1719,509.7371,0.0212
2880.0,535.5469,509.5169,0.0191
2900.0,539.375,509.3028,0.0211
2920.0,530.7031,509.8048,0.0202
2940.0,536.0469,509.3787,0.0186
2960.0,534.3125,509.885,0.0172
2980.0,554.0,509.5934,0.0237

=== FILE: Background.output000000003.wav.3dfeumdi.ingestion-84f9b89597-w9mt8.wav ===
Timestamp_ms,Peak,Mean,CV
20.0,536.25,511.3057,0.02
40.0,553.2969,510.5569,0.0315
60.0,543.5938,511.2874,0.026
80.0,559.4688,511.3095,0.0305
100.0,546.4375,509.8801,0.0275
120.0,561.1406,512.5644,0.034
140.0,555.0938,511.1341,0.0277
160.0,561.7656,510.7032,0.0294
180.0,556.1562,512.1928,0.0305
200.0,552.9219,510.6414,0.0294
