=== FILE: Glass_Breaking.204777__ngruber__breaking-glass.wav.3dfe0lqj.ingestion-84f9b89597-w9mt8.s4.wav ===
Timestamp_ms,Peak,Mean,CV
20.0,1023.0,509.8444,0.3936
40.0,1023.0,515.7932,0.4178
60.0,1023.0,502.0972,0.4166
80.0,1023.0,515.2625,0.3893
100.0,1023.0,511.9904,0.384
120.0,1011.4219,511.7168,0.4173
140.0,1004.7344,509.4342,0.3944
160.0,1023.0,506.0684,0.3831
180.0,1023.0,507.6749,0.3958
200.0,955.9219,506.2312,0.3612
220.0,971.8281,516.8629,0.3028
240.0,966.6094,508.5416,0.3247
260.0,1020.125,508.1998,0.3585
280.0,1015.5156,521.6192,0.3869
300.0,936.0,508.1289,0.3713
320.0,918.6094,505.4666,0.3107
340.0,979.0469,520.9965,0.2752
360.0,1022.5625,508.9942,0.2966
380.0,992.5625,513.3308,0.383
400.0,1010.7812,511.0636,0.3702
420.0,908.9375,512.9202,0.2493
440.0,884.2969,514.3661,0.2657
460.0,879.4844,520.5762,0.2116
480.0,727.875,505.5594,0.1265
500.0,679.3594,511.6266,0.1075
520.0,658.5625,512.3253,0.0902
540.0,668.9219,510.8644,0.087
560.0,692.9688,518.4734,0.1002
580.0,942.7656,510.5378,0.1877
600.0,975.4688,516.6872,0.2309
620.0,893.2812,506.7424,0.2461
640.0,768.2031,516.2929,0.1475
660.0,731.2812,512.5642,0.1252
680.0,699.25,514.2398,0.0733
700.0,572.8281,511.8772,0.0401
720.0,557.7969,511.8876,0.0324
740.0,542.9375,510.5191,0.0198
760.0,537.1094,512.398,0.0169
780.0,552.5938,511.7412,0.0216
800.0,566.7656,511.6242,0.0326
820.0,749.5,510.4442,0.1467
840.0,666.0781,512.9042,0.086
860.0,612.0781,511.6654,0.0656
880.0,603.9688,511.5402,0.0633
900.0,613.6406,512.5604,0.0526
920.0,551.9062,512.2706,0.0277
940.0,542.0156,512.355,0.0139
960.0,522.0469,512.3016,0.0083
980.0,519.2812,511.0188,0.005
1000.0,517.7344,512.3479,0.0037
1020.0,516.3125,512.235,0.0027
1040.0,513.8906,511.7441,0.0018
1060.0,513.5469,511.7599,0.0013
1080.0,513.9688,512.3001,0.0011
1100.0,512.1406,511.9927,1e-04
1120.0,512.2188,512.0006,1e-04
1140.0,1023.0,499.5305,0.3274
1160.0,1023.0,564.6923,0.6098
1180.0,1023.0,487.5612,0.7096
1200.0,1023.0,517.5684,0.6932
1220.0,1023.0,513.866,0.6399
1240.0,1023.0,528.096,0.5914
1260.0,1023.0,529.1058,0.5882
1280.0,1023.0,490.2364,0.6306
1300.0,1023.0,523.3852,0.5768
1320.0,1023.0,509.4634,0.6044
1340.0,1023.0,511.5438,0.6186
1360.0,1023.0,521.7506,0.5864
1380.0,1023.0,496.6374,0.5869
1400.0,1023.0,524.547,0.5687
1420.0,1023.0,486.1442,0.604
1440.0,1023.0,491.1194,0.6061
1460.0,1023.0,508.4908,0.5901
1480.0,1023.0,519.6152,0.6016
1500.0,1023.0,513.1568,0.638
1520.0,1023.0,498.819,0.6508
1540.0,1023.0,510.4843,0.6761
1560.0,1023.0,523.5236,0.6002
1580.0,1023.0,511.4152,0.6182
1600.0,1023.0,514.8798,0.5689
1620.0,1023.0,507.6817,0.6049
1640.0,1023.0,512.531,0.5828
1660.0,1023.0,503.9915,0.5779
1680.0,1023.0,513.6721,0.538
1700.0,1023.0,511.5382,0.4947
1720.0,1023.0,530.6507,0.4382
1740.0,1023.0,492.9042,0.5969
1760.0,1023.0,524.3864,0.4192
1780.0,945.7031,519.1686,0.3065
1800.0,861.7188,500.7591,0.2663
1820.0,935.8594,509.8664,0.3182
1840.0,1023.0,527.3986,0.3215
1860.0,1023.0,512.2718,0.5393
1880.0,987.5469,514.3166,0.3264
1900.0,867.5781,509.4896,0.2655
1920.0,879.2188,509.791,0.2265
1940.0,835.1875,516.9108,0.1852
1960.0,641.125,508.735,0.0991
1980.0,646.7656,514.4758,0.0726
2000.0,926.8594,514.9544,0.2048
2020.0,949.2031,513.8108,0.2205
2040.0,718.8594,511.3258,0.1216
2060.0,826.6875,511.2562,0.1517
