SOUND=sounds/glass1.wav
[ms] | AMP | [ISI] - czas miedzy spike'ami | SPIKES_total
Wyslano: 1023 | Arduino: 45 | 736 | 11497 | 1
Wyslano: 1015 | Arduino: 65 | 655 | 12133 | 1
Wyslano: 1015 | Arduino: 86 | 603 | 12956 | 2
Wyslano: 1011 | Arduino: 107 | 561 | 13852 | 3
Wyslano: 1007 | Arduino: 128 | 531 | 14703 | 4
Wyslano: 1019 | Arduino: 160 | 507 | 13155 | 6
Wyslano: 1015 | Arduino: 181 | 493 | 14773 | 6
Wyslano: 1019 | Arduino: 214 | 483 | 13664 | 8
Wyslano: 1015 | Arduino: 234 | 475 | 15322 | 8
Wyslano: 1015 | Arduino: 267 | 470 | 14070 | 10
Wyslano: 1015 | Arduino: 287 | 469 | 15653 | 10
Wyslano: 1019 | Arduino: 320 | 470 | 14197 | 12
Wyslano: 1023 | Arduino: 340 | 473 | 15673 | 12
Wyslano: 1019 | Arduino: 373 | 468 | 14250 | 14
Wyslano: 1019 | Arduino: 394 | 468 | 15776 | 14
Wyslano: 1007 | Arduino: 427 | 465 | 14339 | 16
Wyslano: 1011 | Arduino: 447 | 465 | 15873 | 16
Wyslano: 1019 | Arduino: 480 | 469 | 14253 | 18
Wyslano: 999 | Arduino: 500 | 464 | 15836 | 18
Wyslano: 1011 | Arduino: 533 | 464 | 14385 | 20
Wyslano: 1011 | Arduino: 553 | 464 | 15915 | 20
Wyslano: 1019 | Arduino: 586 | 470 | 14278 | 22
Wyslano: 1015 | Arduino: 606 | 466 | 15822 | 22
Wyslano: 1011 | Arduino: 627 | 465 | 16723 | 23
Wyslano: 1015 | Arduino: 648 | 466 | 17187 | 24
Wyslano: 1019 | Arduino: 680 | 471 | 14667 | 26
Wyslano: 1019 | Arduino: 700 | 470 | 15994 | 26
Wyslano: 1023 | Arduino: 721 | 473 | 16688 | 27
Wyslano: 1019 | Arduino: 742 | 469 | 17117 | 28
Wyslano: 1019 | Arduino: 774 | 469 | 14640 | 30
