neuron,w1_ohm,w2_ohm,w3_ohm,w1_weight,w2_weight,w3_weight,tau_syn_ms,R_tau_syn_ohm,tau_mem_ms,R_tau_mem_ohm,v_leak,R_v_leak_ohm
0,14186.702232047131,15967.83178304371,14915.234352475718,0.40141943097114563,0.323522686958313,0.3695574700832367,,,19.495720976807686,97478.60488403845,,
1,16879.684339197058,16078.316042674214,17437.79428130702,0.28364330530166626,0.3186907172203064,0.2592346668243408,,,19.495720976807686,97478.60488403845,,
2,14212.985974989439,15518.313065955512,17254.426144926172,0.40026992559432983,0.34318214654922485,0.26725417375564575,,,19.495720976807686,97478.60488403845,,
3,16603.09072199621,13014.08041063108,17042.82262733108,0.2957399785518646,0.45270341634750366,0.27650853991508484,,,19.495720976807686,97478.60488403845,,
4,9338.375519702311,14270.284684520018,16782.094929782965,0.6134583950042725,0.3977639973163605,0.2879113256931305,,,19.495720976807686,97478.60488403845,,
5,13888.715552028854,16419.189701143063,15823.469836021724,0.4144517183303833,0.30378279089927673,0.32983627915382385,,,19.495720976807686,97478.60488403845,,
6,16990.013230976307,15626.00002282544,15394.495791510531,0.27881813049316406,0.33847251534461975,0.3485972285270691,,,19.495720976807686,97478.60488403845,,
7,17433.06033190928,17463.081761975038,16033.212346591448,0.25944170355796814,0.25812873244285583,0.32066330313682556,,,19.495720976807686,97478.60488403845,,
8,19535.734213371026,13919.87498346128,9486.21757030487,0.167482390999794,0.41308897733688354,0.6069926023483276,,,19.495720976807686,97478.60488403845,,
9,12708.465714266424,14131.120746135712,15650.105208660427,0.4660693109035492,0.403850257396698,0.3374182879924774,,,19.495720976807686,97478.60488403845,,
