epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,1.7310,0.0000,0.0000,0.0000,0.00300,50.6
1,HAT,1.5727,0.0000,0.0000,0.0000,0.00300,44.4
2,HAT,1.4073,0.0000,0.0000,0.0000,0.00300,45.2
3,HAT,1.0416,0.8412,0.5860,0.6908,0.00299,44.4
4,HAT,0.5195,0.9481,0.4891,0.6453,0.00299,43.1
5,HAT,0.4638,0.9418,0.5250,0.6742,0.00298,44.1
6,HAT,0.4435,0.9560,0.4471,0.6092,0.00297,44.6
7,HAT,0.4638,0.9623,0.4467,0.6102,0.00297,44.2
8,HAT,0.4454,0.9528,0.4658,0.6257,0.00296,44.9
9,HAT,0.4462,0.9544,0.4473,0.6091,0.00295,42.5
10,HAT,0.4266,0.9465,0.4663,0.6248,0.00294,44.5
11,HAT,0.4216,0.9481,0.4971,0.6522,0.00293,44.6
12,HAT,0.4154,0.9575,0.4721,0.6324,0.00291,46.0
13,HAT,0.4092,0.9450,0.4975,0.6518,0.00290,48.9
14,HAT,0.4141,0.9591,0.4830,0.6424,0.00289,46.3
15,HAT,0.4223,0.9654,0.4873,0.6477,0.00287,39.0
16,HAT,0.4210,0.9560,0.5029,0.6591,0.00285,38.2
17,HAT,0.4168,0.9623,0.4857,0.6456,0.00284,38.2
18,HAT,0.4131,0.9623,0.4808,0.6412,0.00282,38.6
19,HAT,0.4162,0.9654,0.4738,0.6356,0.00280,38.3
20,HAT,0.4130,0.9575,0.4927,0.6506,0.00278,38.1
21,HAT,0.4124,0.9654,0.4842,0.6450,0.00276,54.5
22,HAT,0.4084,0.9497,0.4992,0.6544,0.00274,37.7
23,HAT,0.4039,0.9560,0.4806,0.6397,0.00271,38.7
24,QAT,0.4148,0.9513,0.5193,0.6718,0.00269,64.1
25,QAT,0.4076,0.9528,0.4975,0.6537,0.00267,65.3
26,QAT,0.4131,0.9450,0.5253,0.6753,0.00264,63.8
27,QAT,0.4133,0.9371,0.5341,0.6804,0.00261,64.1
28,QAT,0.4166,0.9403,0.5255,0.6742,0.00259,63.4
29,QAT,0.4150,0.9591,0.4260,0.5899,0.00256,63.9
30,QAT,0.4167,0.9497,0.5076,0.6616,0.00253,63.9
31,QAT,0.3981,0.9513,0.5158,0.6689,0.00250,64.0
32,QAT,0.4192,0.9513,0.4435,0.6050,0.00247,63.5
33,QAT,0.4167,0.9544,0.4557,0.6169,0.00244,70.6
34,QAT,0.4117,0.9434,0.4747,0.6316,0.00241,66.3
35,QAT,0.4159,0.9292,0.5613,0.6998,0.00238,70.3
36,QAT,0.4165,0.9591,0.4529,0.6152,0.00235,68.8
37,QAT,0.4131,0.9638,0.4507,0.6142,0.00232,76.3
38,QAT,0.4112,0.9151,0.5706,0.7029,0.00228,71.2
39,QAT,0.4158,0.9544,0.4705,0.6303,0.00225,80.7
40,QAT,0.4111,0.9544,0.4780,0.6369,0.00222,65.0
41,QAT,0.4149,0.9544,0.4841,0.6423,0.00218,64.3
42,QAT,0.4009,0.9607,0.4803,0.6405,0.00215,64.7
43,QAT,0.4206,0.9607,0.4830,0.6428,0.00211,64.2
44,QAT,0.4198,0.9591,0.4853,0.6445,0.00207,64.2
