epoch,phase,loss,recall,precision,f1,lr,sec
0,HAT,2.3321,0.0000,0.0000,0.0000,0.00300,29.1
1,HAT,1.3177,0.7767,0.5417,0.6382,0.00300,28.8
2,HAT,1.0932,0.8648,0.5268,0.6548,0.00300,29.3
3,HAT,1.0180,0.8821,0.5142,0.6497,0.00299,31.5
4,HAT,0.9958,0.9167,0.4945,0.6424,0.00299,35.6
5,HAT,0.9583,0.9041,0.5004,0.6443,0.00298,35.6
6,HAT,0.9904,0.9230,0.4847,0.6356,0.00297,35.9
7,HAT,0.9984,0.9198,0.4895,0.6390,0.00297,34.5
8,HAT,1.0375,0.9151,0.4936,0.6413,0.00296,34.6
9,HAT,1.0110,0.9198,0.4899,0.6393,0.00295,35.6
10,HAT,1.0240,0.9292,0.4884,0.6403,0.00294,34.1
11,HAT,1.0232,0.9292,0.4872,0.6393,0.00293,34.0
12,HAT,0.9861,0.9403,0.4862,0.6409,0.00291,35.6
13,HAT,1.0199,0.9450,0.4870,0.6428,0.00290,33.6
14,HAT,1.0498,0.9403,0.4902,0.6444,0.00289,34.7
15,HAT,1.0125,0.9513,0.4852,0.6426,0.00287,34.5
16,HAT,1.0164,0.9513,0.4911,0.6478,0.00285,34.5
17,HAT,1.0248,0.9528,0.4844,0.6423,0.00284,35.4
18,HAT,1.0152,0.9513,0.4895,0.6464,0.00282,34.4
19,HAT,1.0475,0.9575,0.4780,0.6377,0.00280,33.2
20,HAT,1.0383,0.9560,0.4919,0.6496,0.00278,35.3
21,HAT,1.0530,0.9623,0.4737,0.6349,0.00276,35.3
22,HAT,1.0237,0.9560,0.4818,0.6407,0.00274,33.6
23,QAT,1.1476,0.9450,0.5013,0.6550,0.00271,53.2
24,QAT,1.0934,0.9371,0.5413,0.6862,0.00269,54.4
25,QAT,1.0491,0.9340,0.5515,0.6935,0.00267,50.3
26,QAT,1.0471,0.9387,0.5432,0.6882,0.00264,53.9
27,QAT,0.9876,0.9418,0.5436,0.6893,0.00261,53.1
28,QAT,0.9928,0.9434,0.5445,0.6904,0.00259,51.7
29,QAT,1.0541,0.9371,0.5513,0.6942,0.00256,53.2
30,QAT,1.0660,0.9450,0.5376,0.6853,0.00253,50.1
31,QAT,0.9850,0.9528,0.5238,0.6760,0.00250,76.3
32,QAT,1.0279,0.9528,0.5229,0.6752,0.00247,54.4
33,QAT,1.0076,0.9418,0.5436,0.6893,0.00244,50.1
34,QAT,1.0298,0.9481,0.5374,0.6860,0.00241,51.7
35,QAT,1.0720,0.9324,0.5594,0.6993,0.00238,53.9
36,QAT,1.0077,0.9481,0.5365,0.6852,0.00235,51.0
37,QAT,1.0068,0.9544,0.5265,0.6786,0.00232,52.2
38,QAT,1.0263,0.9497,0.5331,0.6829,0.00228,54.1
39,QAT,1.0333,0.9481,0.5370,0.6856,0.00225,50.5
40,QAT,1.0493,0.9497,0.5345,0.6840,0.00222,52.4
41,QAT,1.0807,0.9497,0.5383,0.6871,0.00218,54.3
42,QAT,1.0258,0.9513,0.5354,0.6852,0.00215,50.2
43,QAT,1.0404,0.9245,0.5692,0.7046,0.00211,53.5
44,QAT,1.0813,0.9481,0.5374,0.6860,0.00207,53.9
